iter	Logloss
0	0.669990983
1	0.6485453226
2	0.6292505187
3	0.6133710558
4	0.5951091731
5	0.5814361616
6	0.5689801749
7	0.5564412681
8	0.5451814623
9	0.5356297618
10	0.5269049369
11	0.5168181189
12	0.5083985365
13	0.4986760446
14	0.4904270007
15	0.4822682816
16	0.4765156828
17	0.4717157424
18	0.4673426109
19	0.4631615059
20	0.4577607211
21	0.4518632728
22	0.4475830591
23	0.4430831784
24	0.4387166749
25	0.4342873651
26	0.4304471108
27	0.4269056561
28	0.4239272924
29	0.4211161454
30	0.4167412953
31	0.414147363
32	0.4110562124
33	0.4083111407
34	0.4034634674
35	0.4013220889
36	0.3989220353
37	0.3968063258
38	0.3944490011
39	0.3920311454
40	0.3894802934
41	0.3872457975
42	0.3861072997
43	0.3837824734
44	0.3817468846
45	0.3804750899
46	0.3786815002
47	0.3762756027
48	0.3746063552
49	0.3726497202
50	0.3691535074
51	0.3676483651
52	0.366696847
53	0.3631466046
54	0.3615064583
55	0.3604896254
56	0.3597420184
57	0.3585093886
58	0.3559330222
59	0.354024804
60	0.3524054497
61	0.3515846217
62	0.350633972
63	0.3496913404
64	0.3486081992
65	0.3463686202
66	0.3452608947
67	0.3432029132
68	0.3421112104
69	0.3415078629
70	0.3396764804
71	0.33871383
72	0.3379452155
73	0.3367553676
74	0.334944018
75	0.3343773053
76	0.3336348032
77	0.3331112953
78	0.3325202551
79	0.3319674685
80	0.3315365484
81	0.3300205859
82	0.32915859
83	0.3285646575
84	0.3276967261
85	0.3261221566
86	0.3254621286
87	0.3246611939
88	0.3238415206
89	0.3229582535
90	0.3220322615
91	0.3211510093
92	0.3206746434
93	0.3201808528
94	0.3193227157
95	0.3189582402
96	0.318278488
97	0.3170851689
98	0.3166727073
99	0.3159776401
100	0.3154691682
101	0.3146671639
102	0.3142888682
103	0.3139480125
104	0.3132870922
105	0.3125459668
106	0.3121220742
107	0.3116982931
108	0.3113477942
109	0.3110079093
110	0.3101272444
111	0.3095128559
112	0.3092690215
113	0.3089396415
114	0.3086728132
115	0.3082484631
116	0.3078502544
117	0.3074605827
118	0.3070560236
119	0.3064394794
120	0.306138263
121	0.3056367906
