iter	Logloss
122	0.3052284095
123	0.3046863018
124	0.3040763815
125	0.3034533741
126	0.302752953
127	0.302257402
128	0.302026664
129	0.3016020172
130	0.3010494199
131	0.3007744857
132	0.3004564893
133	0.3001070742
134	0.2998170991
135	0.2991212258
136	0.2986721373
137	0.2983433944
138	0.2980575578
139	0.2977443206
140	0.2973787382
141	0.2971065821
142	0.2968227035
143	0.2965695119
144	0.2962735661
145	0.2960818374
146	0.2956515805
147	0.2952742535
148	0.2949827003
149	0.2943264524
150	0.2940838726
151	0.2935755224
152	0.2931876188
153	0.2926938718
154	0.292288428
155	0.2916925138
156	0.291397582
157	0.2911355359
158	0.2908793336
159	0.2905476081
160	0.2902899268
161	0.2899234262
162	0.2896893618
163	0.2894427471
164	0.2892148251
165	0.2887894207
166	0.2885348899
167	0.2883279345
168	0.2879585494
169	0.2877214184
170	0.287333649
171	0.2869493066
172	0.2865405979
173	0.2862427037
174	0.2858629443
175	0.2853586958
176	0.2851783496
177	0.2849204943
178	0.2847379373
179	0.2845445808
180	0.2843045081
181	0.2839444822
182	0.2837386412
183	0.2834704635
184	0.2832564243
185	0.2830897601
186	0.2828406175
187	0.2825736008
188	0.2822166825
189	0.2819878467
190	0.2818017971
191	0.2814698574
192	0.2812476115
193	0.2811147121
194	0.2807375357
195	0.2804924796
196	0.2802624082
197	0.2800878222
198	0.279867519
199	0.279632508
200	0.2792672458
201	0.2789519255
202	0.2786074709
203	0.2783594309
204	0.2781099289
205	0.2777468078
206	0.277452098
207	0.2771342588
208	0.2767705226
209	0.2766428843
210	0.2761049104
211	0.2757807138
212	0.2756086639
213	0.2754823639
214	0.2752352323
215	0.2747831919
216	0.2745598479
217	0.2743623579
218	0.2741720411
219	0.274056062
220	0.2737254865
221	0.2735103209
222	0.2731273016
223	0.2729596377
224	0.272726396
225	0.2725701495
226	0.272405729
227	0.2720742292
228	0.2717884592
229	0.2715413314
230	0.2713638907
231	0.271140647
232	0.2709068773
233	0.2705926449
234	0.2702327273
235	0.2700188933
236	0.269703106
237	0.269552383
238	0.2694461943
239	0.2691269478
240	0.268769261
241	0.2685826611
242	0.2683616543
243	0.2679677158
244	0.2676890747
245	0.2675562393
246	0.2674265394
247	0.2672017471
248	0.2670307928
249	0.2668121385
250	0.266637988
251	0.2663126924
252	0.2660277603
253	0.2657638824
254	0.2654666812
255	0.2652727054
256	0.2651074318
257	0.264813541
258	0.2646336377
259	0.2643330163
260	0.2641064292
261	0.2638673232
262	0.2637105354
263	0.2635304109
264	0.2632525686
265	0.2630518958
266	0.2629608555
267	0.2626598572
268	0.2624228094
269	0.2622002256
270	0.2619809555
271	0.2616815608
272	0.2615003151
273	0.2610989585
274	0.2609169032
275	0.2604999692
276	0.2603511181
277	0.2601238566
278	0.2599322598
279	0.2597394391
280	0.2595102283
281	0.259415152
282	0.2592362195
283	0.2590218047
284	0.2587488908
285	0.2584976254
286	0.258376952
287	0.2581775727
288	0.2580316006
289	0.2578329452
290	0.2576029801
291	0.2574837138
292	0.2573786602
293	0.2572319097
294	0.2570990522
295	0.2568368298
296	0.2566197372
297	0.2564703504
298	0.2562974112
299	0.2560071374
300	0.2558369386
301	0.255646332
302	0.2555442095
303	0.2553863184
304	0.2551989893
305	0.2550195485
306	0.2547801521
307	0.254464148
308	0.2541837537
309	0.253831776
310	0.253542368
311	0.2532346105
312	0.2529247725
313	0.2528246926
314	0.2526044356
315	0.2523476185
316	0.2520933646
317	0.2519386942
318	0.2516972711
319	0.2514982741
320	0.2512920952
321	0.2510759242
322	0.2509002466
323	0.2506323451
324	0.2504442049
325	0.2502939083
326	0.2498983614
327	0.2495825337
328	0.2491913544
329	0.2489440036
330	0.2487517889
331	0.2484700226
332	0.2482701599
333	0.2480280349
334	0.247794504
335	0.2476514226
336	0.247414018
337	0.247124108
338	0.2470160823
339	0.2467689664
340	0.2465819068
341	0.2464994935
342	0.2463576958
343	0.2460418882
344	0.2457416873
345	0.2454348993
346	0.2451415603
347	0.2449614981
348	0.2446899558
349	0.2444446074
350	0.2442447992
351	0.2440705459
352	0.243841709
353	0.2436914824
354	0.2435969961
355	0.243227385
356	0.2429939989
357	0.2428834863
358	0.2426804267
359	0.2423579858
360	0.2421540846
361	0.2420633093
362	0.2418663954
363	0.2412830142
364	0.2410983732
365	0.2409140219
366	0.2405755061
367	0.2402571336
368	0.2400474973
369	0.2396407857
370	0.2393752616
371	0.2392494221
372	0.2389056406
373	0.2386727242
374	0.2383691115
375	0.2380655498
376	0.2377248489
377	0.2376130353
378	0.2374707097
379	0.2371811133
380	0.2369650643
381	0.2365623474
382	0.2361552912
383	0.2359858399
384	0.2358012448
385	0.2356805449
386	0.2355444719
387	0.2353261535
388	0.2350098025
389	0.2347909327
390	0.2344097436
391	0.2342836909
392	0.2340323692
393	0.23378112
394	0.233432399
395	0.2332769126
396	0.2330850262
397	0.2329161643
398	0.232689698
399	0.2325199315
400	0.2323428741
401	0.2322075781
402	0.2321043182
403	0.2319980769
404	0.2319194165
405	0.2315977687
406	0.2314421271
407	0.2311136124
408	0.2308040748
409	0.2305540752
410	0.2303864828
411	0.2300963218
412	0.2299208626
413	0.2297686191
414	0.2296915722
415	0.2295288575
416	0.2293456534
417	0.2292173697
418	0.2291434056
419	0.2290660246
420	0.2289300574
421	0.2287948009
422	0.2286409516
423	0.2284271005
424	0.2282423836
425	0.2279337763
426	0.2277140684
427	0.2275421164
428	0.2272202541
429	0.2270218698
430	0.2268781689
431	0.2266488794
432	0.2265601066
433	0.2264017387
434	0.2262922076
435	0.2260454926
436	0.22594712
437	0.2257918142
438	0.2257258439
439	0.2255368749
440	0.2254274553
441	0.2253714706
442	0.225315362
443	0.2251561045
444	0.2250361058
445	0.2249088153
446	0.2246850168
447	0.22461008
448	0.2245196371
449	0.2243513435
450	0.2241432906
451	0.223726296
452	0.2234708219
453	0.2233074587
454	0.2231215574
455	0.2229912171
456	0.2228503145
457	0.2227288536
458	0.2225428505
459	0.2224323882
460	0.2223137078
461	0.2220998062
462	0.2219420641
463	0.2218170556
464	0.2216817086
465	0.2215372738
466	0.2213038199
467	0.2211739464
468	0.221067222
469	0.2209404902
470	0.2208090301
471	0.2206415979
472	0.2204317899
473	0.2202565769
474	0.2200943477
475	0.2199937837
476	0.2198259757
477	0.2196920418
478	0.2195064492
479	0.2194001347
480	0.2193141639
481	0.2191701672
482	0.2190498631
483	0.2188335104
484	0.2186876756
485	0.2185050901
486	0.2183714004
487	0.2181721538
488	0.2179971768
489	0.2178914591
490	0.217763468
491	0.2176160281
492	0.2174305183
493	0.217350686
494	0.2171820398
495	0.2170365006
496	0.2169155608
497	0.2167812359
498	0.216639553
499	0.2165116325
